name	id	Continent	Years	population	fertility	life_expectancy
IDA only	IDX	Other	1960	259294677	6.689484769	41.11858152
IDA total	IDA	Other	1960	382489740	6.612332947	41.9212242
India	IND	asia	1960	449480608	5.906	41.174
Indonesia	IDN	asia	1960	87792515	5.666	48.651
Iran, Islamic Rep.	IRN	Other	1960	21906903	6.927	44.947
Iraq	IRQ	asia	1960	7289761	6.252	48.022
Ireland	IRL	europe	1960	2828600	3.78	69.7965122
Isle of Man	IMN	Other	1960	48442	#N/A	#N/A
Israel	ISR	asia	1960	2114020	3.866	#N/A
Italy	ITA	europe	1960	50199700	2.37	69.12390244
Jamaica	JAM	north america	1960	1628252	5.419	64.387
Japan	JPN	asia	1960	92500572	2.001	67.66609756
Jordan	JOR	asia	1960	932257	7.687	52.651
Kazakhstan	KAZ	asia	1960	9714260	4.562	58.36758537
Kenya	KEN	africa	1960	8105440	7.946	46.348
Kiribati	KIR	oceania	1960	41233	6.788	49.245
Korea, Dem. People’s Rep.	PRK	Other	1960	11424176	4.579	51.297
Korea, Rep.	KOR	Other	1960	25012374	6.095	53.00180488
Kosovo	XKX	Other	1960	947000	#N/A	#N/A
Kuwait	KWT	asia	1960	269618	7.244	60.285
Kyrgyz Republic	KGZ	Other	1960	2172300	5.469	56.12807317
Lao PDR	LAO	Other	1960	2120896	5.961	43.204
Late-demographic dividend	LTE	Other	1960	1097220852	5.17419996	50.24539007
Latin America & Caribbean	LCN	Other	1960	220434662	5.925173883	56.05441359
Latin America & Caribbean (excluding high income)	LAC	Other	1960	206288466	6.018864079	55.67723569
Latin America & the Caribbean (IDA & IBRD countries)	TLA	Other	1960	210357620	6.006241477	55.63509001
Latvia	LVA	europe	1960	2120979	1.94	69.78682927
Least developed countries: UN classification	LDC	Other	1960	240742196	6.680065083	40.23572619
Lebanon	LBN	asia	1960	1804926	5.739	63.267
Lesotho	LSO	africa	1960	851591	5.839	46.602
Liberia	LBR	africa	1960	1120313	6.406	34.671
Libya	LBY	africa	1960	1448417	7.202	42.609
Liechtenstein	LIE	europe	1960	16495	#N/A	#N/A
Lithuania	LTU	europe	1960	2778550	2.56	69.84731707
Low & middle income	LMY	Other	1960	2277550468	5.656047006	47.29570747
Low income	LIC	Other	1960	154670163	6.521812954	39.09438992
Lower middle income	LMC	Other	1960	953436474	5.928562028	45.52727973
Luxembourg	LUX	europe	1960	313970	2.29	68.44639024
Macao SAR, China	MAC	Other	1960	167796	4.772	64.828
Macedonia, FYR	MKD	Other	1960	1488667	3.842	60.633
Madagascar	MDG	africa	1960	5099373	7.3	39.962
Malawi	MWI	africa	1960	3618595	6.94	37.805
Malaysia	MYS	asia	1960	8157106	6.45	59.466
Maldives	MDV	asia	1960	89887	7.021	37.397
Mali	MLI	africa	1960	5263733	6.967	28.199
Malta	MLT	europe	1960	326550	3.62	68.59529268
Marshall Islands	MHL	oceania	1960	14662	#N/A	#N/A
Mauritania	MRT	africa	1960	858168	6.775	43.488
Mauritius	MUS	africa	1960	659351	6.167	58.74521951
Mexico	MEX	north america	1960	38174112	6.768	57.082
Micronesia, Fed. Sts.	FSM	Other	1960	44537	6.934	57.58
Middle East & North Africa	MEA	Other	1960	105488678	6.881807178	46.69612557
Middle East & North Africa (excluding high income)	MNA	Other	1960	97837766	6.943370957	46.63164348
Middle East & North Africa (IDA & IBRD countries)	TMN	Other	1960	97837766	6.943370957	46.63164348
Middle income	MIC	Other	1960	2122880305	5.590629397	47.89540825
Moldova	MDA	europe	1960	2544000	3.328	61.995
Monaco	MCO	europe	1960	22452	#N/A	#N/A
Mongolia	MNG	asia	1960	955505	6.953	48.392
Montenegro	MNE	europe	1960	480579	3.603	63.82
Morocco	MAR	africa	1960	12328532	7.04	48.458
Mozambique	MOZ	africa	1960	7388695	6.954	35.026
Myanmar	MMR	Other	1960	20986123	6.051	42.714
Namibia	NAM	africa	1960	602544	6.149	46.91
Nauru	NRU	oceania	1960	4433	#N/A	#N/A
Nepal	NPL	asia	1960	10063011	5.959	35.197
Netherlands	NLD	europe	1960	11486631	3.12	73.39268293
New Caledonia	NCL	Other	1960	79000	6.278	58.63902439
New Zealand	NZL	oceania	1960	2371800	4.03	71.23658537
Nicaragua	NIC	north america	1960	1774699	7.336	47.03
Niger	NER	africa	1960	3388764	7.454	35.045
Nigeria	NGA	africa	1960	45137812	6.354	36.975
North America	NAC	Other	1960	198624409	3.668391139	69.89360376
Northern Mariana Islands	MNP	Other	1960	10035	#N/A	#N/A
Norway	NOR	europe	1960	3581239	2.85	73.5497561
Not classified	INX	Other	1960	#N/A	#N/A	#N/A
OECD members	OED	Other	1960	788709114	3.233843675	67.3509488
Oman	OMN	asia	1960	551740	7.247	42.672
Other small states	OSS	Other	1960	9196324	5.063058285	51.44830422
Pacific island small states	PSS	Other	1960	865809	6.767404949	53.56520787
Pakistan	PAK	asia	1960	44908293	6.6	45.265
Palau	PLW	oceania	1960	9642	#N/A	#N/A
Panama	PAN	north america	1960	1132921	5.87	60.862
Papua New Guinea	PNG	oceania	1960	2010677	6.275	41.891
Paraguay	PRY	South America	1960	1902875	6.5	63.879
Peru	PER	South America	1960	10061515	6.971	47.694
Philippines	PHL	asia	1960	26273025	7.148	57.867
Poland	POL	europe	1960	29637450	2.98	67.6804878
Portugal	PRT	europe	1960	8857716	3.16	62.80892683
Post-demographic dividend	PST	Other	1960	754705296	2.898376115	68.72895122
Pre-demographic dividend	PRE	Other	1960	188636191	6.660859543	38.79933715
Puerto Rico	PRI	Other	1960	2358000	4.657	68.71960976
Qatar	QAT	asia	1960	47384	6.971	61.094
